ID,type,typeNum,region,regionNum,province,provinceNum,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,conditionNum,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,gardenSurface,hasTerrace,terraceSurface,price
10680395,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6220,4,2.0,189.0,UNKNOWN,0,1.0,0.0,1.0,0,1,0,0,0,0.0,1,0.0,135000.0
10680397,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6200,3,4.0,137.0,UNKNOWN,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0,0.0,89000.0
10680394,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6200,3,4.0,137.0,UNKNOWN,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0,0.0,89000.0
10680398,HOUSE,1,Wallonie,3,Hainaut,7,Charleroi,6200,3,4.0,137.0,UNKNOWN,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0,0.0,89000.0
10680406,HOUSE,1,Flanders,2,Antwerp,2,Antwerp,2100,3,2.0,98.0,GOOD,3,1.0,0.0,1.0,0,1,0,0,0,0.0,1,23.0,279000.0
10680405,APARTMENT,2,Flanders,2,Antwerp,2,Antwerp,2100,3,2.0,99.0,GOOD,3,1.0,0.0,1.0,0,1,0,0,0,0.0,0,0.0,220000.0
10680420,HOUSE,1,Flanders,2,Flemish Brabant,4,Halle-Vilvoorde,1702,3,3.0,135.0,UNKNOWN,0,0.0,1.0,2.0,0,1,0,0,1,743.0,1,19.0,360000.0
10680408,HOUSE,1,Wallonie,3,Liège,8,Huy,4520,4,4.0,410.0,UNKNOWN,0,2.0,0.0,3.0,0,1,0,0,0,0.0,0,0.0,390000.0
10680413,APARTMENT,2,Flanders,2,Antwerp,2,Antwerp,2170,4,2.0,82.0,TO_BE_DONE_UP,4,1.0,0.0,1.0,0,1,0,0,0,0.0,1,2.0,149000.0
10680418,HOUSE,1,Flanders,2,West Flanders,6,Kortrijk,8580,4,3.0,120.0,GOOD,3,1.0,0.0,1.0,0,1,0,0,0,0.0,1,0.0,265000.0
10680416,HOUSE,1,Flanders,2,West Flanders,6,Kortrijk,8580,4,3.0,120.0,GOOD,3,1.0,0.0,1.0,0,1,0,0,0,0.0,1,0.0,265000.0
10680421,APARTMENT,2,Flanders,2,Limburg,5,Maaseik,3640,4,1.0,91.0,UNKNOWN,0,1.0,0.0,0.0,1,1,0,0,1,16.0,1,14.0,197876.0
10680423,HOUSE,1,Flanders,2,Antwerp,2,Antwerp,2640,4,4.0,140.0,TO_BE_DONE_UP,4,1.0,0.0,0.0,0,1,0,0,1,30.0,0,0.0,369500.0
