ID,type,region,province,district,postalCode,localityType,bedroomCount,netHabitableSurface,condition,epcScore,bathroomCount,showerRoomCount,toiletCount,hasLift,fireplaceExists,hasSwimmingPool,hasAirConditioning,hasGarden,hasTerrace,gardenSurface,terraceSurface,land,price
10661813,HOUSE,Wallonie,Luxembourg,Virton,6810,4,5.0,575.0,AS_NEW,C,3.0,0.0,0.0,0,0,0,0,1,1,0.0,1.0,1090.0,750000.0
10661809,APARTMENT,Brussels,Brussels,Brussels,1040,2,1.0,41.0,AS_NEW,G,1.0,1.0,1.0,1,0,0,0,0,0,0.0,0.0,0.0,195000.0
10661818,HOUSE,Wallonie,Liège,Liège,4020,2,2.0,90.0,JUST_RENOVATED,F,1.0,0.0,1.0,0,1,0,0,1,1,155.0,25.0,300.0,259000.0
10661827,HOUSE,Flanders,East Flanders,Gent,9890,4,3.0,174.0,AS_NEW,A,2.0,0.0,3.0,0,0,0,0,1,1,15.0,9.0,198.0,362500.0
10661821,HOUSE,Flanders,West Flanders,Kortrijk,8560,4,3.0,160.0,GOOD,UNKNOWN,1.0,0.0,1.0,0,0,0,0,0,1,0.0,0.0,590.0,175000.0
10661829,HOUSE,Flanders,East Flanders,Gent,9890,4,3.0,176.0,AS_NEW,A,2.0,0.0,3.0,0,0,0,0,1,1,15.0,9.0,200.0,367500.0
10661824,HOUSE,Wallonie,Namur,Dinant,5530,4,3.0,106.0,UNKNOWN,E,0.0,1.0,1.0,0,1,0,0,1,0,454.0,0.0,529.0,269000.0
10661828,HOUSE,Flanders,East Flanders,Gent,9890,4,3.0,171.0,AS_NEW,A,2.0,0.0,3.0,0,0,0,0,1,1,15.0,9.0,195.0,357500.0
10661839,HOUSE,Wallonie,Hainaut,Charleroi,6060,2,2.0,90.0,UNKNOWN,F,1.0,0.0,2.0,0,1,0,0,0,0,0.0,0.0,0.0,165000.0
10661834,HOUSE,Flanders,West Flanders,Tielt,8720,4,4.0,258.0,AS_NEW,C,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,985.0,597950.0
10661833,HOUSE,Flanders,West Flanders,Tielt,8720,4,4.0,258.0,AS_NEW,C,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.0,985.0,597950.0
10661841,APARTMENT,Wallonie,Namur,Namur,5000,1,2.0,64.0,GOOD,G,1.0,1.0,1.0,1,0,0,0,0,1,0.0,0.0,0.0,165000.0
10661837,HOUSE,Brussels,Brussels,Brussels,1180,4,6.0,326.0,JUST_RENOVATED,G,4.0,0.0,5.0,0,1,0,0,1,1,250.0,40.0,620.0,1625000.0
10661855,HOUSE,Wallonie,Hainaut,Charleroi,6280,4,3.0,106.0,AS_NEW,D,1.0,0.0,1.0,0,0,0,0,0,1,0.0,52.0,205.0,240000.0
10661851,HOUSE,Flanders,East Flanders,Eeklo,9968,4,3.0,886.0,TO_BE_DONE_UP,UNKNOWN,1.0,0.0,2.0,0,0,0,0,1,1,0.0,1.0,886.0,311000.0
10661849,APARTMENT,Brussels,Brussels,Brussels,1050,2,3.0,110.0,TO_RENOVATE,G,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,250000.0
10661842,HOUSE,Wallonie,Namur,Namur,5000,1,8.0,278.0,GOOD,C,8.0,0.0,6.0,1,0,0,0,0,1,0.0,40.0,634.0,800000.0
10661860,HOUSE,Flanders,Antwerp,Mechelen,2800,3,3.0,98.0,GOOD,C,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,70.0,298500.0
10661861,APARTMENT,Brussels,Brussels,Brussels,1050,2,4.0,208.0,JUST_RENOVATED,E,2.0,0.0,2.0,1,1,0,0,1,1,115.0,100.0,0.0,850000.0
10661869,HOUSE,Wallonie,Liège,Liège,4432,4,3.0,130.0,AS_NEW,D,0.0,1.0,2.0,0,1,0,0,1,1,0.0,17.0,360.0,279000.0
10661867,APARTMENT,Wallonie,Liège,Liège,4041,2,2.0,90.0,AS_NEW,A,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,230000.0
10661870,APARTMENT,Flanders,Flemish Brabant,Halle-Vilvoorde,1640,4,2.0,72.0,JUST_RENOVATED,C,1.0,0.0,1.0,0,1,0,0,0,1,0.0,29.0,0.0,279000.0
10661875,HOUSE,Flanders,West Flanders,Kortrijk,8500,3,3.0,225.0,AS_NEW,B,2.0,0.0,2.0,0,1,0,0,0,1,0.0,29.0,124.0,495000.0
10661878,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1640,4,6.0,710.0,GOOD,UNKNOWN,2.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,1184.0,1495000.0
10661872,HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1640,4,6.0,710.0,GOOD,UNKNOWN,2.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,1184.0,1495000.0
10661884,APARTMENT,Wallonie,Hainaut,Mouscron,7700,3,4.0,167.0,AS_NEW,C,2.0,0.0,2.0,0,1,0,0,0,1,0.0,20.0,0.0,174900.0
10661886,APARTMENT,Flanders,East Flanders,Eeklo,9980,4,1.0,90.0,GOOD,UNKNOWN,1.0,0.0,1.0,0,0,0,0,1,1,28.0,8.0,0.0,287000.0
10661885,HOUSE,Flanders,West Flanders,Brugge,8200,3,4.0,235.0,AS_NEW,UNKNOWN,2.0,2.0,3.0,0,0,0,0,1,1,0.0,1.0,0.0,395000.0
10661888,HOUSE,Flanders,West Flanders,Brugge,8370,4,4.0,215.0,JUST_RENOVATED,B,3.0,0.0,3.0,0,0,0,0,0,1,0.0,0.0,50.0,349000.0
10661890,HOUSE,Wallonie,Hainaut,Mouscron,7700,3,4.0,167.0,AS_NEW,C,2.0,0.0,2.0,0,1,0,0,0,1,0.0,20.0,0.0,174900.0
10661893,HOUSE,Flanders,Antwerp,Antwerp,2110,4,3.0,170.0,GOOD,B,1.0,1.0,2.0,0,0,0,0,1,0,90.0,0.0,175.0,359000.0
10661894,APARTMENT,Wallonie,Liège,Liège,4620,4,4.0,192.0,AS_NEW,B,4.0,0.0,3.0,1,0,0,0,0,0,0.0,0.0,0.0,455000.0
10661895,APARTMENT,Flanders,East Flanders,Eeklo,9980,4,1.0,87.0,GOOD,UNKNOWN,1.0,0.0,1.0,1,0,0,0,0,1,0.0,8.0,0.0,275000.0
10661898,APARTMENT,Flanders,East Flanders,Eeklo,9980,4,3.0,159.0,GOOD,UNKNOWN,2.0,0.0,1.0,1,0,0,0,0,1,0.0,12.0,0.0,355000.0
